Item ID,Title/Description,Idioma
ITEM-111001,Argentina Country Team Workshop 2018 El objetivo del Taller es reconocer el rol del Grupo BID como una plataforma de soluciones innovadoras para los desafíos del desarrollo e identificar propuestas para preparar a la Oficina en Argentina para esta transformación.,Español 
ITEM-112001,Marketing Cloud Onboarding Marketing Cloud - CRM Trainings,Ingles 
ITEM-113001,Corporate Executive Board Training on Tools and Resources Corporate Executive Board Briefing on Tools and Resources for HRD,Ingles 
ITEM-114001,BGT Workshop 2018 BGT Workshop 2018,Ingles 
ITEM-115001,"Behavioral Economics Webinar Series As part of the efforts to broaden knowledge and uses of behavoiural economics applications in development economics and public policy, the Bank is developing a series of Webinars targeted to government officials, bank specialists and the international development community in the region. The Behavioral Economics Webinar Series will allow the Bank to disseminate theory and practice in applied behavioural economics briging world experts in this topic and different policy areas.",Ingles 
ITEM-115002,"Country Programming and Project Cycle By taking this course you will understand what the Country Strategy consists of and what is its connection with the Project Cycle. Moreover, this course is part of a larger training resource available called  ""Yellow Line - OnBoard@IDB for Directors and Counselors ENG"".",Ingles 
ITEM-115003,"Programación de País y Ciclo de Proyecto A través de este curso comprenderás en que consiste la Estragía de País y su vinculación con el ciclo de proyecto.  A su vez hace parte de un recurso formativo de mayor longitud en  ""Línea Amarilla - OnBoard@IDB para Directores y Consejeros ESP"".",Español 
ITEM-116001,"Elevator Pitch: Instrumentos Financieros del BID Si estás involucrado en el diseño de nuevos proyectos, en la preparación de la programación anual de operaciones del país, o participas en el diálogo con la contraparte sobre el tipo de préstamo que resulta más conveniente a su necesidad, entonces este curso introductorio de los instrumentos financieros es para tí. 
Al completarlo serás capaz de:
Determinar la categoría de financiamiento con garantía soberana adecuada a la necesidad planteada por un país prestatario.                         
Identificar los instrumentos financieros que ofrece el BID a sus clientes del sector público según la categoría de financiamiento.
Identificar cuáles productos ofrecidos por el BID son igualmente ofrecidos por otros bancos multilaterales.",Español 
ITEM-117001,"Advanced Topics Courses Advanced Topics in Impact Evaluation courses which SPD, in coordination with KNL, organizes aims to strengthen IDB staff capacity on impact evaluation topics and methodologies.",Ingles 
ITEM-118002,Access to Information Policy This program aims to train on the Access to Information Policy Departmental Classification Instructions,Ingles 
ITEM-119001,"Advanced Presentations Skills (HIP Level II - Leadership and Employee Development Division (HRD/LDV) A two-day program that helps participants improve the structure, content, and delivery of their presentations. Students also discover new techniques that help them ensure their audience becomes and remains captivated. In partnership with Dale Carnegie, HRD/LDV presents two levels of the High Impact Presentations program for IDB Group staff in the managerial and technical tracks. During the program, participants have interactive coaching, dynamic interaction with audiences, active participation, and fast moving sessions. The workshops are delivered in English.
Objectives:
Level II (Advanced): To become proficient in the delivery of impressive presentations that will captivate your audience.
Core Competencies: Communication and influence.
Eligibility and Requirements: Staff in Technical Track - Supervisor’s Approval
Commitment: Participants must attend the two full day program.
Certification: Provided by Dale Carnegie. Equivalent to 1.6 C.E.U (Continuing Education Units)
Tuition Cost: Full tuition $1,300 per participant. The tuition cost is charged to the Organizational Unit upon participant’s registration.
	Transportation from and to HQ will be provided to participants.
	HRD does not cover travel expenses for this program. Travel, lodging, and incidentals cost for COF staff must be covered by their Organizational Unit.
	Maximum 20 participants per group.
	Slots are filled on a first come, first served basis.
	Priority will be given to staff.
Cancellation Policy:
If a registered participant is not able to attend, the Learning Coordinator of the Organizational Unit will need to notify LCSP@iadb.org and nominate another participant no later than 2 weeks prior the event. Cost of the course will not be reimbursed.",Ingles 
ITEM-120001,Cómo analizar riesgos de desastres y cambio climático Taller para el Diseño de un Curso Online sobre Análisis del Riesgo de Desastres y Cambio Climático para Proyectos de Inversión Pública en Infraestructura Crítica,Español 
ITEM-12001,"Ciclo de vida soberana de empréstimos garantidos Voce encontrar'a tudo o que voce sempre quis saber e nunca teve coragem de perguntar sobre operacoes em nosso novo curso Ciclo de vida soberana de empréstimos garantido. Para queles que fazem parte do pessoal corporativo, este curso 'e uma introducao ao ciclo de projetos do BID, e se voces já trabalham com operacoes, ese curso é uma revisao breve dos principais temas operacionais. Voce encontrará, entre outros: Quais sao is instrumentos financieros que o Banco ofrece, Qual é o ciclo de projetos do BID, Quais sao os envolvidos e os documentos principais desde a identificacao do projeto até o encerramento dele, e As áreas de trabalho envolvidas na supervisao operacional.",Ingles 
ITEM-122001,Knowledge Locator Platform - Pilot Project A proof of concept project to explore how tools from the Watson toolbox can be used to find people in the Bank with specific knowledge.,Ingles 
ITEM-123001,Workshop for the Update of the Sector Framework Document on Environment and Biodiversity This workshop aims to exchange experiences and knowledge in order to update of the Sector Framework Document on Environment and Biodiversity.,Ingles 
ITEM-124001,"La gerencia moderna Esta sesión se enfoca en reflexionar sobre el papel de los líderes de grupo y técnicos en su función de @coaches@.   Durante la sesión se explorarán dos paradigmas de @coaching@: el que se realiza desde el saber técnico y el que se realiza desde la capacidad de provocar aprendizaje en el otro.  Al final de la sesión, los participantes habrán identificado aprendizajes para ejercer su función de @coach@ de acuerdo a su estilo individual.",Español 
ITEM-125001,URBELAC-Urban Network Knowledge Transfer for Sustainable Urban Development Knowledge exchange workshop among cities on specific projects,Ingles 
ITEM-126001,Jornada de Conocimiento ICS 2018 Knowledge Week ICS,Ingles 
ITEM-126002,"La Ingeniería del Braille Historia del braille, metodología y los desafíos que presenta con la aparición de nuevas tecnologías",Español 
ITEM-127002,"Seminario sobre Planificación de Sistemas Eléctricos con elevada participación de generación distrib La Directora por España, Alicia Montalvo Santamaria, y la División de Energía del BID y les invitan a participar en el Seminario sobre Planificación de Sistemas Eléctricos con elevada participación de generación distribuida - Aspectos fundamentales y lecciones aprendidas, a cargo de la firma Deloitte España. 

Actualmente, varios países de LAC tienen deficiencias en la infraestructura eléctrica, tanto en generación como en transmisión y distribución. Adicionalmente, otros tienen déficits importantes en el acceso a la electricidad. Por el otro lado, las energías renovables no convencionales han tenido una reducción muy importante en sus costos que las hacen competitivas con las energías tradicionales, potencialmente cambiando la dinámica del sector eléctrico y una mayor participación de las soluciones de generación distribuida. Este nuevo escenario presenta grandes oportunidades a la región para realizar un brinco tecnológico directamente a las nuevas tecnologías y arreglos institucionales, mejorando la calidad del servicio, el acceso y con costos del servicio más bajos. Para lograr estos beneficios, sin embargo, se hace imprescindible una adecuada planificación a todos los niveles, y un adecuado proceso de toma de decisiones para dotar la infraestructura y soluciones necesarias. Para hacerlo posible, se requieren herramientas que permitan una correcta planificación a medio y largo plazo, tanto local como nacional.

En la sesión, se analizará cómo la planificación energética se realiza a dos niveles, macro y micro: en el primero, con una aproximación top-down, analizando variables clave como: (a) las directrices de política energética y climática, (b) el marco regulatorio y la legislación, (c) el objetivo de electrificación, (d) la previsión de evolución de la demanda, (e) la estructura de evolución de la demanda, (f) la disponibilidad de recursos renovables, y (g) la estructura de red; y en el segundo, con una aproximación bottom-up, analizando aspectos relevantes como el detalle de la demanda (actual/potencial), del recurso renovable y de la orografía.

Se expondrá también otros factores que ilustran que la planificación energética se realiza bajo condiciones de elevado cambio tecnológico: (a) reducción de los costes de las energías renovables, (b) mejora de los rendimientos de los dispositivos de almacenamiento y reducción de sus costes, (c) mejora en los dispositivos de monitorización y control, (d) gestión activa de la demanda, (e) evaluación de los beneficios derivados de la adopción de estas soluciones, o (f) plan de gestión de la relación institucional.

Para lo anterior, Deloitte expondrá sus soluciones y vídeos en vivo y en directo, y fomentará la interactividad e intercambio de conocimiento durante toda la sesión. Al final de la exposición, se abrirá un turno de preguntas y se fomentará el diálogo. Deloitte España es una firma con más de 7.500 profesionales, con una línea de industria dedicada específicamente al sector de Energía, donde trabaja desde hace más de 40 años en proyectos con reguladores, con las grandes empresas del sector, y con el sector público. Entre sus profesionales se encuentran los dos líderes globales de Deloitte en regulación y electricidad. En electricidad, cuenta con una Unidad técnica, con una fuerte especialización en energías renovables y en soluciones para la planificación con alta participación de generación distribuida. El líder de este grupo técnico, Enrique Doheijo, guiará la presentación de este seminario.",Español 
ITEM-128001,"Brown Bag Breakfast-Estrategia de Innovación del Banco Fallabela, Colombia Estrategia de innovación del Banco Fallabela, Colombia presentado por Sergio Muñoz, CEO Banco Fallabela en Colombia y el Head Global de Innovación del banco.

Puede también acceder al webinar remotamente a través de webex:
  
Join WebEx meeting   
(https://iadb.webex.com/iadb/j.php?MTID=m03b09ce1b8dd414d3b208a40d9a10e36) 
Meeting number (access code): 732 869 521   
  

Join by phone  
1-650-479-3207 Call-in toll number (US/Canada)  
Global call-in numbers  
(https://iadb.webex.com/iadb/globalcallin.php?serviceType=MC&ED=606727182&tollFree=0)",Español 
ITEM-129001,"Proyectar ideas: Liderazgo, toma de decisiones, inteligencia y creatividad. Perspectivas de la Neuro ",Español 
ITEM-130001,"Expert Dialogue: Pathways for Policy Intervention on Proactive Reconstructioin In collaboration with Kyoto University, this event brings together practitioners and researchers from different fields, including disaster management, emergency management, development and humanitarian aids, to share relevant knowledge and experiences, which will be followed by a group dialogue among diverse stakeholders. The dialogue will focus on experiences in Japan and in the U.S. and implications for Asia, Latin American and Caribbean Countries will focus on: 1) strength, weakness, opportunity, and challenge of proactive disaster management and reconstruction based on past experiences, 2) gaps between planning and implementation or between policy and fields, and 3) pathways for proactive disaster management practices in Asian, Latin American, and the Caribbean Countries, and the relevant policy intervention.",Ingles 
ITEM-130002,Mining Fiscal Regimes Workshop ,Ingles 
ITEM-13001,"PMR: Visión General (1/7) El curso PMR: Visión General, es el primero de un total de 7 cursos en los que podrás conocer todos los detalles del Reporte de Monitoreo de Progreso o PMR, por sus siglas en inglés. En este primer curso comprenderás qué es el PMR y su utilidad como instrumento de efectividad en el desarrollo. También podrás identificar qué operaciones requieren de la elaboración de un PMR y cuándo. Adicionalmente tendrás a tu disposición guías paso a paso que te ayudarán a registrar la información de progreso de tu operación en Convergencia.",Español 
ITEM-13002,"PMR: Overview (1/7) The course PMR: Overview is the first of 7 courses that you will study to learn details regarding the Project Monitoring Report (PMR). In this course, you will learn what the PMR is and its use as an important instrument for development effectiveness. You will also learn to identify what operations require a PMR, and when it must be applied. Moreover, you will have available ¨how to¨ guides that will help you managing information regarding the operation.",Ingles 
ITEM-13003,"PMR: A la aprobación del proyecto (2/7) Aprende cómo crear el primer reporte de progreso de tu operación. El curso PMR: A la aprobación del proyecto y hasta el logro de la elegibilidad, es el segundo de un total de 7 cursos en los que podrás conocer todos los detalles del Reporte de Monitoreo de Progreso o PMR, por sus siglas en inglés. Al finalizar este segundo curso serás capaz de reconocer los pasos para elaborar el PMR en la etapa de aprobación y hasta el logro de su elegibilidad. Adicionalmente tendrás a tu disposición guías paso a paso que te ayudarán a registrar la información de progreso de tu operación en Convergencia.",Español 
ITEM-13004,"PMR: at Project Approval (2/7) The course PMR: at Project Approval is the second of 7 courses that you will study to learn details regarding the Project Monitoring Report (PMR). In this course, you will learn to recognize the steps needed to put together the first stages of the PMR (approval to eligibility). Moreover, you will have available ¨how to¨ guides that will help you managing information regarding the operation.",Ingles 
ITEM-131001,Mesa redonda: Mi Teleférico. Alternativa innovadora de movilidad en Bolivia. ,Español 
ITEM-132001,"Capacitación en presentaciones Esta sesión  tiene como objetivo capacitar al equipo del INTAL en la mejora de sus habilidades para generar charlas cortas que presenten su trabajo, profundizando en el contenido y forma de sus presentaciones y pasado por instancias de ensayo.",Español 
ITEM-132002,"Taller Bienes Publicos Regionales: Diseño colectivo de soluciones de desarrollo” El Encuentro “Bienes Públicos Regionales: Diseño colectivo de soluciones de desarrollo” busca reunir a jefes de equipo de proyectos financiados por la Iniciativa BPR que hayan finalizado recientemente o se encuentren en las últimas etapas de implementación, y tengan un alto potencial para ofrecer lecciones relevantes para la evaluación y diseño de proyectos futuros a ser apoyados por la Iniciativa BPR.",Español 
ITEM-133001,"Why Hootsuite? How to get a better engagement? Have you ever wondered why we are using Hootsuite to manage all IDB social media networks? And why you were given a seat? Join Hootsuite experts at our next training and learn all the tools that you have to “squeeze” the juice out of this platform toward a better and more efficient engagement with your audience. This training will be in English, on site and it is addressed to all IDB employees with a seat in Hootsuite.",Ingles 
ITEM-134001,"Steven Pinker | Enlightenment Now: The Case for Reason, Science, Humanism, and Progress. Steven Pinker presents the big picture of human progress: people are living longer, healthier, freer and happier lives, and while our problems are still formidable, solutions are within our grasp. Cognitive psychology Harvard professor and New York Times bestselling author Steven Pinker is one of the world’s leading authorities on language, mind, and human nature.",Ingles 
ITEM-135001,Jornada de Conocimiento FMM Jornada de Conocimiento FMM,Español 
ITEM-136001,Jornada de Conocimiento IFD 2018 Jornada de Conocimiento IFD 2018 | Embracing the Future,Español 
ITEM-137001,Test ,Ingles 
ITEM-138001,Jornada de Conocimiento CMF 2018 Jornada de Conocimiento CMF,Español 
ITEM-138002,"BBL - The use of blockchain to reach last mile impacts, presented by Ashish Gadnis Please join us for a discussion on the last mile impacts of blockchain, with Ashish Gadnis.  Ashish is founder and CEO of Banqu, a firm that develops solutions that generate opportunity from economic identity. Ashish has 27 years of experience in global business solutions, technology deployments, startups (ideation to sale) and social enterprise in extreme poverty / conflict zones. He has also been active in the advocacy of financial empowerment for women globally, and in a global poverty eradication agenda.  He has also worked and lived in 5 continents, including LAC.",Ingles 
ITEM-138003,"ITE Workshop 2018 The ITE departmental workshop will include both HQ and COF staff and will focus on awareness training for technology/digital directions, IDBG strategy initiatives, and customer centric design techniques.  In addition, the workshop will have team building and inclusion type activities.",Ingles 
ITEM-139001,Cutting edge ICS | Blockchain Blockchain,Ingles 
ITEM-139002,Operational Knowledge Management for Executing Agencies - Ecuador workshop one-day workshop for executing agencies of five projects in Ecuador to introduce them to operational KM practices and tools.,Ingles 
ITEM-140001,Design Thinking for ITE E2E Process Project Design Thinking for ITE E2E Process Project,Ingles 
ITEM-14001,"Yellow Line - OnBoard@IDB for Directors and Counselors The objective of the online course is to introduce new members of the IDB Board of Directors to the main areas in which the Board is involved. It will guide new Counselors, Alternate Directors, and Directors through the main concepts, policies, and processes of the Bank’s functioning, and help them identify the role that the Board plays in each one.",Ingles 
ITEM-14002,"Línea Amarilla - OnBoard@IDB para Directores y Consejeros Este curso virtual está destinado a los nuevos miembros del Directorio Ejecutivo del BID y tiene por objetivo introducirlos a los principales ámbitos de participación del Directorio. Este curso guiará a los nuevos Consejeros, los Directores Suplentes y los Directores a través de los principales conceptos, políticas y procesos del funcionamiento del Banco y los ayudará a distinguir el papel que desempeña el Directorio en cada uno de estos aspectos.",Español 
ITEM-141001,"Alianza INTAL - Latinobarómetro: Los futuros de la integración en la era del cambio tecnológico expo La voz de América Latina y el Caribe sobre democracia, comercio exponencial y equidad en la era de los algoritmos. Hallazgos de 60.000 entrevistas en 18 paises en 3 años de mediciones.",Español 
ITEM-142001,ORP Workshop Seriese 2018 Seriese of workshop for internal business and learning needs,Ingles 
ITEM-143001,"BBL  HYDRO - BID FLOOD UN MODELO DE   SIMULACIÓN HIDRÁULICA PARA
APOYAR PROYECTOS DE
Presentation regarding a model for hydraulic simulation to support projects of flood mitigation, rain protection and improvements on urban drainage.",Español 
ITEM-144001,Dialogos Tecnicos Compartiendo conocimiento en temas operativos,Español 
ITEM-144002,Visita a laboratorios de innovación MIT Media Lab ,Español 
ITEM-145001,"MACRO REPORT – Launch 2018 Latin American and Caribbean Macroeconomic Report: A Mandate to Grow:

The 2018 Macroeconomic Report, A Mandate to Grow, revisits the growth debate that has been raging in the region for the past half century. Viewing the debate from this long-term perspective allows for a focus on the structural factors that have prevented Latin America and the Caribbean from reaching the growth potential required to keep pace with faster growing regions and to fulfill the aspirations of its population.",Ingles 
ITEM-146001,"Actividades de Apoyo - Preparación del Examen de Certificación en Adquisiciones 2018  El Programa de Certificación en Adquisiciones tiene como objetivo principal apoyar una más efectiva y eficiente supervisión de las adquisiciones financiadas en el marco de las operaciones del Banco, además de propiciar que el personal certificado pueda aportar y apoyar las buenas prácticas de adquisiciones en el diseño de las operaciones mejorando la calidad de la ejecución del proyecto. Así mismo, el obtener la certificación en adquisiciones permite estandarizar el conocimiento y la experiencia exigidos a funcionarios del Banco que no pertenecen a la función de adquisiciones para otorgar opiniones técnicas en los procesos de adquisiciones de Nivel I.",Español 
ITEM-146002,"Supporting activities for the preparation of the Procurement Certification exam 2018 The procurement certification program’s main objective is to support a more effective and efficient supervision of procurement processes within Bank financed operations. Moreover, the program enables certified personnel to contribute and support good practices in procurement during project design, resulting in better project execution. In addition, receiving this certification will standardize the knowledge and experience that all Bank personnel, outside of the procurement function, are required to possess to provide expert opinions in Level I procurement processes.",Ingles 
ITEM-147001,"Explorando el impacto de las tecnologias exponenciales en los sistemas de auditoria y control El objetivo principal de este conversatorio es dar a conocer el impacto que las tecnologías exponenciales (blockchain, inteligencia artificial, bigdata, icloud, otras) están teniendo en los sistemas de auditoría y control de entidades públicas y privadas.",Español 
ITEM-147002,"Bank-Executed Operations (BEO) Certification Exam (GN-2765-1) This exam is available in English and Spanish.

In order to take this exam you should have completed the previous courses:

1) Selection/Contracting of Firms for Bank-Executed  Work: Basic Course
2) Selection/Contracting of Firms for Bank-Executed  Work: Project Team Leaders
3) Selection/Contracting of Firms for Bank-Executed  Work: Certification Training 

Para poder tomar este examen, deberá haber completado primero los cursos:

1) Selección/Contratación de Firmas para Trabajo Ejecutado por el Banco: Curso Básico 
2) Selección/Contratación de Firmas para Trabajo Ejecutado por el Banco: Jefe de Equipo 
3) Selección/Contratación de Firmas para Trabajo Ejecutado por el Banco: Certificación",Ingles 
ITEM-148001,¿Llegaran los robots a convertirse en especialistas del BID? ,Español 
ITEM-148002,Ethics Workshop for IDB-IIC Credit Union Talleres presenciales impartidos por la Oficina de Ética para el personal del Grupo BID,Español 
