Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
10,ITEM-11002,Life cycle of Sovereign Guarantee Loans You´ll discover everything you´ve always wanted to know but didn´t dare to ask about operations in our course Life Cycle of Sovereign Guarantee Loans. For corporate staff this course is an introduction to the IDB project cycle and if you work in operations this course will be a brief review of main operations topics. Among other topics your will find out: What financial instruments the Bank offers The IDB project cycle Who the stakeholders are and the key documents for the process from project identification to project closure and The work areas involved in operations supervision.,Ingles
11,ITEM-112001,Marketing Cloud Onboarding Marketing Cloud - CRM Trainings,Ingles
12,ITEM-113001,Corporate Executive Board Training on Tools and Resources Corporate Executive Board Briefing on Tools and Resources for HRD,Ingles
13,ITEM-114001,BGT Workshop  BGT Workshop ,Ingles
14,ITEM-115001,Behavioral Economics Webinar Series As part of the efforts to broaden knowledge and uses of behavoiural economics applications in development economics and public policy the Bank is developing a series of Webinars targeted to government officials bank specialists and the international development community in the region. The Behavioral Economics Webinar Series will allow the Bank to disseminate theory and practice in applied behavioural economics briging world experts in this topic and different policy areas.,Ingles
15,ITEM-115002,"Country Programming and Project Cycle By taking this course you will understand what the Country Strategy consists of and what is its connection with the Project Cycle. Moreover this course is part of a larger training resource available called  ""Yellow Line - OnBoard@IDB for Directors and Counselors ENG"".",Ingles
16,ITEM-117001,Advanced Topics Courses Advanced Topics in Impact Evaluation courses which SPD in coordination with KNL organizes aims to strengthen IDB staff capacity on impact evaluation topics and methodologies.,Ingles
17,ITEM-118002,Access to Information Policy This program aims to train on the Access to Information Policy Departmental Classification Instructions,Ingles
18,ITEM-119001,Advanced Presentations Skills (HIP Level II - Leadership and Employee Development Division (HRD/LDV) A two-day program that helps participants improve the structure content and delivery of their presentations. Students also discover new techniques that help them ensure their audience becomes and remains captivated. In partnership with Dale Carnegie HRD/LDV presents two levels of the High Impact Presentations program for IDB Group staff in the managerial and technical tracks. During the program participants have interactive coaching dynamic interaction with audiences active participation and fast moving sessions. The workshops are delivered in English.Objectives:Level II (Advanced): To become proficient in the delivery of impressive presentations that will captivate your audience.Core Competencies: Communication and influence.Eligibility and Requirements: Staff in Technical Track - Supervisor’s ApprovalCommitment: Participants must attend the two full day program.Certification: Provided by Dale Carnegie. Equivalent to . C.E.U (Continuing Education Units)Tuition Cost: Full tuition $ per participant. The tuition cost is charged to the Organizational Unit upon participant’s registration.	Transportation from and to HQ will be provided to participants.	HRD does not cover travel expenses for this program. Travel lodging and incidentals cost for COF staff must be covered by their Organizational Unit.	Maximum  participants per group.	Slots are filled on a first come first served basis.	Priority will be given to staff.Cancellation Policy:If a registered participant is not able to attend the Learning Coordinator of the Organizational Unit will need to notify LCSP@iadb.org and nominate another participant no later than  weeks prior the event. Cost of the course will not be reimbursed.,Ingles
19,ITEM-122001,Knowledge Locator Platform - Pilot Project A proof of concept project to explore how tools from the Watson toolbox can be used to find people in the Bank with specific knowledge.,Ingles
20,ITEM-123001,Workshop for the Update of the Sector Framework Document on Environment and Biodiversity This workshop aims to exchange experiences and knowledge in order to update of the Sector Framework Document on Environment and Biodiversity.,Ingles
21,ITEM-125001,URBELAC-Urban Network Knowledge Transfer for Sustainable Urban Development Knowledge exchange workshop among cities on specific projects,Ingles
22,ITEM-126001,Jornada de Conocimiento ICS  Knowledge Week ICS,Ingles
23,ITEM-130001,Expert Dialogue: Pathways for Policy Intervention on Proactive Reconstructioin In collaboration with Kyoto University this event brings together practitioners and researchers from different fields including disaster management emergency management development and humanitarian aids to share relevant knowledge and experiences which will be followed by a group dialogue among diverse stakeholders. The dialogue will focus on experiences in Japan and in the U.S. and implications for Asia Latin American and Caribbean Countries will focus on: ) strength weakness opportunity and challenge of proactive disaster management and reconstruction based on past experiences ) gaps between planning and implementation or between policy and fields and ) pathways for proactive disaster management practices in Asian Latin American and the Caribbean Countries and the relevant policy intervention.,Ingles
24,ITEM-130002,Mining Fiscal Regimes Workshop ,Ingles
25,ITEM-13002,PMR: Overview (/) The course PMR: Overview is the first of  courses that you will study to learn details regarding the Project Monitoring Report (PMR). In this course you will learn what the PMR is and its use as an important instrument for development effectiveness. You will also learn to identify what operations require a PMR and when it must be applied. Moreover you will have available ¨how to¨ guides that will help you managing information regarding the operation.,Ingles
26,ITEM-13004,PMR: at Project Approval (/) The course PMR: at Project Approval is the second of  courses that you will study to learn details regarding the Project Monitoring Report (PMR). In this course you will learn to recognize the steps needed to put together the first stages of the PMR (approval to eligibility). Moreover you will have available ¨how to¨ guides that will help you managing information regarding the operation.,Ingles
27,ITEM-133001,Why Hootsuite? How to get a better engagement? Have you ever wondered why we are using Hootsuite to manage all IDB social media networks? And why you were given a seat? Join Hootsuite experts at our next training and learn all the tools that you have to “squeeze” the juice out of this platform toward a better and more efficient engagement with your audience. This training will be in English on site and it is addressed to all IDB employees with a seat in Hootsuite.,Ingles
28,ITEM-134001,Steven Pinker | Enlightenment Now: The Case for Reason Science Humanism and Progress. Steven Pinker presents the big picture of human progress: people are living longer healthier freer and happier lives and while our problems are still formidable solutions are within our grasp. Cognitive psychology Harvard professor and New York Times bestselling author Steven Pinker is one of the world’s leading authorities on language mind and human nature.,Ingles
29,ITEM-138002,BBL - The use of blockchain to reach last mile impacts presented by Ashish Gadnis Please join us for a discussion on the last mile impacts of blockchain with Ashish Gadnis.  Ashish is founder and CEO of Banqu a firm that develops solutions that generate opportunity from economic identity. Ashish has  years of experience in global business solutions technology deployments startups (ideation to sale) and social enterprise in extreme poverty / conflict zones. He has also been active in the advocacy of financial empowerment for women globally and in a global poverty eradication agenda.  He has also worked and lived in  continents including LAC.,Ingles
30,ITEM-138003,ITE Workshop  The ITE departmental workshop will include both HQ and COF staff and will focus on awareness training for technology/digital directions IDBG strategy initiatives and customer centric design techniques.  In addition the workshop will have team building and inclusion type activities.,Ingles
31,ITEM-139001,Cutting edge ICS | Blockchain Blockchain,Ingles
32,ITEM-139002,Operational Knowledge Management for Executing Agencies - Ecuador workshop one-day workshop for executing agencies of five projects in Ecuador to introduce them to operational KM practices and tools.,Ingles
33,ITEM-140001,Design Thinking for ITE EE Process Project Design Thinking for ITE EE Process Project,Ingles
34,ITEM-14001,Yellow Line - OnBoard@IDB for Directors and Counselors The objective of the online course is to introduce new members of the IDB Board of Directors to the main areas in which the Board is involved. It will guide new Counselors Alternate Directors and Directors through the main concepts policies and processes of the Bank’s functioning and help them identify the role that the Board plays in each one.,Ingles
35,ITEM-142001,ORP Workshop Seriese  Seriese of workshop for internal business and learning needs,Ingles
36,ITEM-143001,BBL  HYDRO - BID FLOOD UN MODELO DE   SIMULACIÓN HIDRÁULICA PARAAPOYAR PROYECTOS DEPresentation regarding a model for hydraulic simulation to support projects of flood mitigation rain protection and improvements on urban drainage.,Español
37,ITEM-145001,MACRO REPORT – Launch  Latin American and Caribbean Macroeconomic Report: A Mandate to Grow:The  Macroeconomic Report A Mandate to Grow revisits the growth debate that has been raging in the region for the past half century. Viewing the debate from this long-term perspective allows for a focus on the structural factors that have prevented Latin America and the Caribbean from reaching the growth potential required to keep pace with faster growing regions and to fulfill the aspirations of its population.,Ingles
38,ITEM-146002,Supporting activities for the preparation of the Procurement Certification exam  The procurement certification program’s main objective is to support a more effective and efficient supervision of procurement processes within Bank financed operations. Moreover the program enables certified personnel to contribute and support good practices in procurement during project design resulting in better project execution. In addition receiving this certification will standardize the knowledge and experience that all Bank personnel outside of the procurement function are required to possess to provide expert opinions in Level I procurement processes.,Ingles
39,ITEM-149001,Project Management Essentials for Busy HR Professionals Human resource professionals must be able to manage a wide variety of HR projects large and small while at the same time completing ongoing day-to-day HR tasks. Yet many HR practitioners have had limited exposure to “tried and true” project management methods. In this practical webinar you will learn project management essentials for the HR function. Among other things the course will cover topics such as:Why Projects Succeed or FailThe Three Phases of the Project Management Process: Plan Control ExecuteHow to Define an HR Project’s Scope and ObjectivesHow to Break Down a Project into Manageable TasksHow to Establish a Realistic Project Schedule and TimelineWhat to Monitor to Keep a Project on TrackTips for Managing the People Issues in HR Project Execution,Ingles
40,ITEM-150001,VPS  Training Hyperion NPC ,Ingles
41,ITEM-150002,BEO Firm Procurement Training for MIF PTLs analysts and contract officers The presentation will be in SPANISH and COFs can join through webex:Bank Executed Operations MIF TrainingThursday March  : pm  |  Eastern Daylight Time (New York GMT-:)  |Meeting number (access code):   https://iadb.webex.com/iadb/j.php?MTID=mdeaededdddcJoin by phone--- Call-in toll number (US/Canada)Global call-in numbershttps://iadb.webex.com/cmp/webcomponents/widget/globalcallin/globalcallin.do?siteurl=iadb&serviceType=MC&eventID=&tollFree=,Ingles
42,ITEM-15002,PMR: at Eligibility (/) The course PMR: at Eligibility is the third of  courses that you will study to learn details regarding the Project Monitoring Report (PMR). Get to know the key elements needed to update the performance of your project. In this course you will learn to identify the necessary steps to update the information found in the results matrix at the moment of eligibility in an operation. Moreover you will have available ¨how to¨ guides that will help you managing information regarding the operation.,Ingles
43,ITEM-15004,PMR: during Project Execution (/) The course PMR: during Project Execution is the fourth of  courses that you will study to learn details regarding the Project Monitoring Report (PMR). Learn how to report the progress of your operation and possible updates to the results matrix. Moreover you will have available ¨how to¨ guides that will help you managing information regarding the operation.,Ingles
44,ITEM-15006,PMR: Validation (/) The course PMR: Validation is the fifth of  courses that you will study to learn details regarding the Project Monitoring Report (PMR). Learn how the different entities work together to validate your project. In this course you will learn the validation process main participants and their responsibilities. Moreover you will have available ¨how to¨ guides that will help you managing information regarding the operation.,Ingles
45,ITEM-15008,PMR: Performance Classification (/) The course PMR: Performance Classification is the sixth of  courses that you will study to learn details regarding the Project Monitoring Report (PMR). Learn what performance classification means and how it can be obtained. In this course you will learn monitoring indicators and how these are applied to the performance classification of a project. Moreover you will have available ¨how to¨ guides that will help you managing information regarding the operation.,Ingles
46,ITEM-15010,Use of Special Contractual Conditions in Sovereign Guaranteed Investment Loans This online course provides an overview on how to use special contractual conditions in sovereign guaranteed investment loans. The course seeks to rationalize the use of special contractual conditions and address other issues and requirements in supplementary project documentation which would be more easily adapted and adjusted.,Ingles
47,ITEM-154001,Hands-on BBL - IDBx Ticketing System for MOOCs and SPOCs This BBL will be a hands-on experience to train Production Coordinators on:-	What is and how to use the IDBx Ticketing System ( minutes)-	Hands-On Training ( hr)o	Procedures to implement the IDBx Ticketing System in a MOOC or SPOCo	Auto-Reply and idbx@iadb.org requests handlingo	Automatic Answers option & procedures to update them-	Workload distribution & reporting ( minutes),Ingles
48,ITEM-155001,Project Specific Limits Quick Reference Tool Training session of the Project Specific Limits Quick Reference Tool that has been recently published at the Portal/Resources/Market & Operational Risk webpage. This tool was designed to calculate and check compliance with applicable project specific limits defined in the Risk Appetite Policy and the Cross-Booking documentation.,Ingles
49,ITEM-157001,TimeInvest Tutorial TimeInvest is the time management tool that will help you organize the hours you invest in your activities thereby providing us with a better understanding of the cost structure of our business. This tutorial will show you step by step how to enter and record your time in a an easy and friendly way.,Ingles
50,ITEM-160001,Lego Serious Play Facilitation Training LEGO Serious Play Facilitation Training,Ingles
51,ITEM-16001,Leading Change A -day hands-on  leadership development program  which provides the participants with tools and techniques for managing self managing others and leading organizational change.Designed and delivered  by HRD in collaboration with the INCAE Business  School,Ingles
52,ITEM-16004, Support Staff Forum IDB Group offers Staff in the Support Track a forum to hone their leadership skills.  This event is also an opportunity to network across departments.,Ingles
53,ITEM-161001,Effective and Influential Communications -day workshop which will build and enhance IFD participants’ communication skills at all levels – to improve overall effectiveness. After the workshop participants will: (i) have confidence and skills to communicate persuasively with stakeholder; (ii) have methods and a practice of inclusive and collaborative communication - across all levels of the organization; and (iii) have a deeper understanding of how to effectively use social to communicate and how to constantly adapt.,Ingles
54,ITEM-162001,Leader as a Coach A one-day hands-on program for IDBG leaders to help them improve coaching skills across a broad range of situations thus increase performance engagement and accountability.,Ingles
55,ITEM-163001,Advanced Negotiation (Level II) Program Advanced Negotiation (Level II) ProgramDescription:Great negotiators are always associated to great leaders. This workshop is follow-on to the skills learned in the Negotiation & Conflict Management training (Level ) and provides useful tools to handle negotiation in situations with additional complexities.Objectives:This -day workshop is exclusively designed for IDBG Staff. At the end of this training participants will: Handle complex business conversations with multiple parties and stakeholders involved; Learn the most common manipulative tactics used by difficult people along with strategies for neutralizing their effects and be enabled to determine the best strategic approach in a difficult conversation while maintaining the relationship as negotiations take place.Core Competencies:Collaboration Teamwork and Inclusion | Communication and influence | Client FocusEligibility and Requirements:IBD Staff in Technical Track (Grades  to ) IBD Invest Staff in Technical Track (Levels B C D E)  IDB and IDB Invest DTCs** A very strong business case explaining why this training is relevant and necessary to the nominee’s current work will be required since training for consultants is handle on an exceptional basis.Tuition Cost:Full tuition $ per participant.IDB Staff & YP: $ DTCs Research Fellows OVE MEC MIF EXD SRE APO Secondees TFA and IDB Invest: $,Ingles
56,ITEM-167001,Strategic Talent Acquisition Program In this course participants will learn to identify quality talent increase diversity and enable winning teams. Presented through a lens of customer-centricity the course provides an actionable frameworkand end-to-end strategy to win the war for great talent--and help drive IDB forward.,Ingles
57,ITEM-169001,Presentaciones efectivas & Storytelling Presentaciones efectivas & Storytelling,Ingles
58,ITEM-172001,HR Shared Services - CW training workshop Training workshop for the HR Shared Services CW contracting team that will cover new changes to the AM- policy new HR Service Now system vendor and PO guidelines for CW TORs among other topics.,Ingles
59,ITEM-173001, IDB Group Mentoring Program The IDBG Mentoring Program is a voluntary staff development program that pairs staff as mentors and mentees giving mentees the opportunity to grow professionally and personally by learning from mentors and mentors the opportunity to develop leadership competencies.,Ingles
60,ITEM-175001,Introduction to Strategic Asset Allocation for Central Banks Introduction to Strategic Asset Allocation for Central Banks,Ingles
61,ITEM-176001,Innovations to close Gender and Diversity Gaps .	One-day workshop to the MIT MediaLab and other labs in Boston (see agenda in Annex ). In the workshop participants will be exposed to the latest innovations that could be applied in Bank-financed programs to close gender and diversity gaps. The learning trip would serve to identify innovative solutions in the areas of: Ciudad Mujer (digital identity economic empowerment violence against women and quality of services) and indigenous Autonomies (governance of indigenous peoples and territories). Additional opportunities for economic empowerment of indigenous peoples in Panama will be identified and tested with resources from PN-T).,Ingles
62,ITEM-178002,Informative Sessions regarding Updated Regulation AM- Complementary Workforce Informative Sessions regarding Updated Regulation AM- Complementary Workforce,Ingles
63,ITEM-178003,Public-Private Partnerships Certification Program The APMG PPP Certification Program is an innovation World Bank and other Multilaterals with a shared vision of increasing the efficiency and “performance “of the Public Private Partnerships on a global scale.The main aim of the Guide and the PPP Certification Program of is to encourage a common base of PPP knowledge and to assist to the professionals of Multilaterals and Public Administrations and its advisers to develop efficient and sustainable PPP helping them to apply “best practices” confirmed on a global scale and improving the access of its PPP programs to investors and promoters.,Ingles
64,ITEM-181001,Special tax regimes tax evasion and resource misallocation: preliminary steps ,Ingles
65,ITEM-182001,BDA Tableau Training Session The objective of the session is to learn specific capabilities offered by Tableau that are relevant to BGT in order to enhance visualization and analytics skills. It is not intended to be a structured course since the audience (listed below) is a group of people who has already worked with Tableau and has a good knowledge of the data structures in EDW and the new EDW-Cloud. Moreover some of these people already have the license installed (which is a prerequisite to take full advantage of the session). Finally the tables to be used are the main tables for Operations Time reported and Budget execution. We’ll provide these tables to the instructor in order for him to prepare exercises that are relevant and current for the participants. Based on the background and experience of the audience the pace and level (technically speaking) is expected to be fast and high in order to advance and navigate the advanced capabilities of the tool.,Ingles
66,ITEM-185002,SEC/TRD: DVX Training Session ,Ingles
67,ITEM-185003,High Resolution Remote Sensing Data Sets and Applications for Water Security and Climate Change A ,Ingles
68,ITEM-185004,RMG Workshop  Departmental workshop for all staff to attend and learn about Risk Assessment.,Ingles
69,ITEM-185005,Digital Transformation Workshop Digital transformation workshop for INE's management.,Ingles
70,ITEM-185006,Digital Transformation Workshop Digital Transformation Workshop for INE's divisions,Ingles
71,ITEM-185008,ORP Knowledge Sharing This is a scerise of knowledge exchange opportunity for acrosss ORP Offices.  It will cover the areas relevant to mobilization partnerships resource management and strategic outreach.,Ingles
72,ITEM-185010,Impact Evaluation Design Week The workshop will include a combination of theoretical and applied sessions on impact evaluation methods as well as ample time for group work to design impact evaluations of participating projects. Group work will be facilitated by impact evaluation experts from within the Inter-American Development Bank.,Ingles
73,ITEM-185011,Financing Projects with Resources from the European Union: Training for Executing Agencies TBD.,Ingles
74,ITEM-185014,New web – Drupal platform training The training will cover Drupal: the content management system (CMS) of the new website of the Bank that is replacing the old WMS.,Ingles
75,ITEM-185015,International Hydropower Association and Hydropower Sustainability Assessment Protocol International Hydropower Association and Hydropower Sustainability Assessment Protocol,Ingles
76,ITEM-185016,Cities - Carbon Trust ,Ingles
77,ITEM-185017,World Energy Outlook ,Ingles
78,ITEM-185029,TEAMS - Learn about Teams! Needing a place to collaborate online with your Team? At the IDB we are introducing Microsoft Teams a one-stop shop to work and organize your daily work. Join us for this training session. For more information about the tool please visit http://bid/,Ingles
79,ITEM-185030,TEAMS - Ask the Expert Session Already using Microsoft Teams but you have some questions? This is the perfect opportunity join us in our weekly Thursday morning ¨Ask the expert session¨. For more information about the tool please visit http://bid/,Ingles
80,ITEM-185038,Client Engagement The Client Engagement program endeavors to help participants articulate an exceptional client service by:	Reviewing expectations all clients have	Discussing client-centric language	Offering strategies for managing difficult clients and challenging situations	Providing suggestions for getting the most out of client interactions,Ingles
81,ITEM-185040,Conversation  on Performance Based Contracts ,Ingles
82,ITEM-185044,"The Future of Work: Regional Perspectives Recent technological innovations in areas such as robotics automation and machine learning have the potential to reduce the number of workers required in a wide range of activities. The new study ""The Future of Work: Regional Perspectives"" analyzes this trend and explains how technology has the potential to change labor markets around the world in the coming years identifying how the impacts will vary across the world and presenting concrete actions that governments can take to face the challenges and leverage the opportunities presented by this trend. The launch of the study is jointly organized by the African Development Bank (AfDB) the Asian Development Bank (AsDB) the European Bank for Reconstruction and Development (EBRD) and the Inter-American Development Bank (IDB). The launch will be accompanied by a panel discussion on the future of work around the world. The panel will be composed of the presidents of participating regional development banks along with the expert on the subject Susan Lund (McKinsey and Company) and moderated by Carmen Pagés (IDB).",Ingles
83,ITEM-185046,Conversaciones TSP con BID-Invest ,Español
84,ITEM-185055,Green Innovation Policies for LAC Countries The general objectives of this knowledge session is to provide an overview of the best policy practices in the area of GI as well as to strengthen the capacity of the IDB to serve the Governments of the region in their demands for activities to promote GI. The specific objectives are to expand the knowledge of IDB Sector Specialists on the main features of GI and GI policies as well as to understand the conditions for a successful implementation of these policies in the region.,Ingles
85,ITEM-185056,Green Innovation Policies for LAC Countries The specific objectives are to expand the knowledge of IDB specislits on Green Innovation  features and policies. It will also include understanding the conditions for a sucessful implementation of these policies,Ingles
86,ITEM-185057,Bill Drayton Founder of Ashoka | The Future of Social Entrepreneurship and Innovation ,Ingles
87,ITEM-185058,Greening Financial Flows: How can development finance institutions align with the Paris Agreement? Multilateral Development Banks have a vital role in supporting member countries to meet their goals under the Paris Climate Agreement.  During the past year EG has been doing extensive research to assess progress among the main development banks on various topics including on supporting green finance technical assistance energy efficiency forests and land use greenhouse gas reporting climate risk screening and carbon pricing.This seminar will share some of the key findings and highlights from the work including selected case studies. What are the implications and how can we accelerate a positive ‘race to the top’ to reach the Paris climate goals?,Ingles
88,ITEM-185059,MINDLAB | Curios about Innovation Labs' methodologies? | Thomas Prehn Director of Mindlab Mindlab is the world leading public sector lab and as a public servant truly embedded in the Danish Government Thomas Prehn has pioneered organizational transformation behavioral change and leadership mindshift in the Danish public sector.,Ingles
89,ITEM-185061,PLI Agreement PLI  Membership - (to start June  ),Ingles
90,ITEM-185064,Advisory Comitee SCL ,Ingles
91,ITEM-185067,Training on Key Characteristics of FFF This training session introduces participants to key characteristics of the Flexible Financing Facility (FFF) as the Bank´s single platform for approval of all OC Sovereign Guaranteed (SG) loans.,Ingles
92,ITEM-185070,ORP  Innovation Workshop The workshops aim to strengthen ORPs team’s abilities on challenging the status quo and developing a creative mind to be a change leader within the IDB driving innovative approaches by i) identifying innovative approaches to improve ORP’s internal and external work; ii) increasing the ability to manage change in collaborative and innovative ways; and iii) encouraging a motivated integrated and inspired team.,Ingles
93,ITEM-185074,Blended Finance: The Theory and the Practice This talk will present the topic of blended finance.,Ingles
94,ITEM-185076,Connecting dots between technology self sovereign identity and government ,Ingles
95,ITEM-185094,New Methodology for Evaluation of Public Procurement Systems MAPS The purpose of the workshop is:a)	To introduce to a group of FMP staff the new MAPS /  Methodology for the Evaluation of Public Procurement Systems its structure form of application benefits and execution process.b)	To understand the global scope of MAPS’ coverage and the new complementary modules which will enable the analysis to be extended to specific and detailed areas.c)	To understand through practical qualitative and quantitative exercises how to carry out the analyzes and evaluations in the framework of MAPS methodology.d)	To understand the process of organization and execution of the Evaluation its quality control scheme and preparation of reports.e)	To understand the experience of FMP specialists while applying the previous MAPS share good practices and challenges on the matter looking forward the application of future new MAPS.,Ingles
96,ITEM-185095,The future of work - Regional Perspectives ,Ingles
97,ITEM-185099,Ask the Expert about the ezShare & Convergence Improvements - I Ask the Expert about the ezShare & Convergence Improvements - IPregúntale al Experto sobre las Mejoras ezShare & Convergencia - I,Ingles
98,ITEM-185101,BBL: Managing Distributional Impacts of Carbon Pricing Serie de BBLs CCS,Ingles
99,ITEM-185102, Annual Meeting COO/FMP Inspire and motivate the VPC team to bring creativity and innovation to day-to-day work,Ingles
100,ITEM-185103,Second Annual Smith Analytics Conference Big data business intelligence predictive analytics key performance indicators risk analysis marketing research - these buzz terms are prolific in the C-suite. At the Second Annual Smith Analytics Conference on April   you will learn how to leverage the latest analytics best practices to help improve your company's bottom line.Hosted by the Smith Analytics Consortium at the University of Maryland's Robert H. Smith School of Business the day-long forum will feature speakers from industry government and academia who will discuss their experiences and challenges in analytics. Smith School faculty will present cutting-edge research in the field.,Ingles
101,ITEM-185104,Aligned Assurance Training In this workshop participants will learn what other companies are doing and discuss the three lines of ) defense model ) the value created by aligned assurance and ) the best ways to promote information sharing. In addition the group will identify areas to take action and process improvements where the leadership team can implement a superior approach as well as develop a go-forward “Strategy-on-a-Page” to make it easy to implement steps that achieve a desired future state.,Ingles
102,ITEM-185105,Internet for All - IEEE Internet Inclusion ,Ingles
103,ITEM-186002,Biodiversity in Environmental Impact Assessments To participate in the course you have to complete two steps:. Register in the session / date in which you want to participate. You will receive a notification email with the instructions to follow,Ingles
104,ITEM-186004,Principles for Reviewing Environmental Impact Assessments To participate in the course you have to complete two steps:. Register in the session / date in which you want to participate. You will receive a notification email with the instructions to follow,Ingles
105,ITEM-186006,Meaningful Stakeholder Engagement (MuSE) To participate in the course you have to complete two steps:. Register in the session / date in which you want to participate. You will receive a notification email with the instructions to follow,Ingles
106,ITEM-186010,ORP Funding Solutions Fair The Office of Outreach and Partnerships (ORP) cordially invites you to the ORP Funding Solutions Fair. This event will provide you with a unique window into the array of resource mobilization instruments from external partners available funding sources for your projects and activities and information on how to access these resources. The event will take place from am to pm in the IDBG Atrium.  Feel free to visit our website http://orp/,Ingles
