Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
10,ITEM-11002,"['life', 'cycl', 'sovereign', 'guarante', 'loan', 'you´ll', 'discov', 'everyth', 'you´v', 'alway', 'want', 'know', 'didn´t', 'dare', 'ask', 'oper', 'cours', 'life', 'cycl', 'sovereign', 'guarante', 'loans.', 'corpor', 'staff', 'cours', 'introduct', 'idb', 'project', 'cycl', 'work', 'oper', 'cours', 'brief', 'review', 'main', 'oper', 'topics.', 'among', 'topic', 'find', 'out:', 'financi', 'instrument', 'bank', 'offer', 'idb', 'project', 'cycl', 'stakehold', 'key', 'document', 'process', 'project', 'identif', 'project', 'closur', 'work', 'area', 'involv', 'oper', 'supervision.']",Ingles
11,ITEM-112001,"['market', 'cloud', 'onboard', 'market', 'cloud', '-', 'crm', 'train']",Ingles
12,ITEM-113001,"['corpor', 'execut', 'board', 'train', 'tool', 'resourc', 'corpor', 'execut', 'board', 'brief', 'tool', 'resourc', 'hrd']",Ingles
13,ITEM-114001,"['bgt', 'workshop', 'bgt', 'workshop']",Ingles
14,ITEM-115001,"['behavior', 'econom', 'webinar', 'seri', 'part', 'effort', 'broaden', 'knowledg', 'use', 'behavoiur', 'econom', 'applic', 'develop', 'econom', 'public', 'polici', 'bank', 'develop', 'seri', 'webinar', 'target', 'govern', 'offici', 'bank', 'specialist', 'intern', 'develop', 'communiti', 'region.', 'behavior', 'econom', 'webinar', 'seri', 'allow', 'bank', 'dissemin', 'theori', 'practic', 'appli', 'behaviour', 'econom', 'brige', 'world', 'expert', 'topic', 'differ', 'polici', 'areas.']",Ingles
15,ITEM-115002,"['countri', 'program', 'project', 'cycl', 'take', 'cours', 'understand', 'countri', 'strategi', 'consist', 'connect', 'project', 'cycle.', 'moreov', 'cours', 'part', 'larger', 'train', 'resourc', 'avail', 'call', '""yellow', 'line', '-', 'onboard@idb', 'director', 'counselor', 'eng"".']",Ingles
16,ITEM-117001,"['advanc', 'topic', 'cours', 'advanc', 'topic', 'impact', 'evalu', 'cours', 'spd', 'coordin', 'knl', 'organ', 'aim', 'strengthen', 'idb', 'staff', 'capac', 'impact', 'evalu', 'topic', 'methodologies.']",Ingles
17,ITEM-118002,"['access', 'inform', 'polici', 'program', 'aim', 'train', 'access', 'inform', 'polici', 'department', 'classif', 'instruct']",Ingles
18,ITEM-119001,"['advanc', 'present', 'skill', '(hip', 'level', 'ii', '-', 'leadership', 'employe', 'develop', 'divis', '(hrd/ldv)', 'two-day', 'program', 'help', 'particip', 'improv', 'structur', 'content', 'deliveri', 'presentations.', 'student', 'also', 'discov', 'new', 'techniqu', 'help', 'ensur', 'audienc', 'becom', 'remain', 'captivated.', 'partnership', 'dale', 'carnegi', 'hrd/ldv', 'present', 'two', 'level', 'high', 'impact', 'present', 'program', 'idb', 'group', 'staff', 'manageri', 'technic', 'tracks.', 'program', 'particip', 'interact', 'coach', 'dynam', 'interact', 'audienc', 'activ', 'particip', 'fast', 'move', 'sessions.', 'workshop', 'deliv', 'english.objectives:level', 'ii', '(advanced):', 'becom', 'profici', 'deliveri', 'impress', 'present', 'captiv', 'audience.cor', 'competencies:', 'communic', 'influence.elig', 'requirements:', 'staff', 'technic', 'track', '-', 'supervisor', 'approvalcommitment:', 'particip', 'must', 'attend', 'two', 'full', 'day', 'program.certification:', 'provid', 'dale', 'carnegie.', 'equival', '.', 'c.e.u', '(continu', 'educ', 'units)tuit', 'cost:', 'full', 'tuition', '$', 'per', 'participant.', 'tuition', 'cost', 'charg', 'organiz', 'unit', 'upon', 'particip', 'registration.\uf0a7', 'transport', 'hq', 'provid', 'participants.\uf0a7', 'hrd', 'cover', 'travel', 'expens', 'program.', 'travel', 'lodg', 'incident', 'cost', 'cof', 'staff', 'must', 'cover', 'organiz', 'unit.\uf0a7', 'maximum', 'particip', 'per', 'group.\uf0a7', 'slot', 'fill', 'first', 'come', 'first', 'serv', 'basis.\uf0a7', 'prioriti', 'given', 'staff.cancel', 'policy:if', 'regist', 'particip', 'abl', 'attend', 'learn', 'coordin', 'organiz', 'unit', 'need', 'notifi', 'lcsp@iadb.org', 'nomin', 'anoth', 'particip', 'later', 'week', 'prior', 'event.', 'cost', 'cours', 'reimbursed.']",Ingles
19,ITEM-122001,"['knowledg', 'locat', 'platform', '-', 'pilot', 'project', 'proof', 'concept', 'project', 'explor', 'tool', 'watson', 'toolbox', 'use', 'find', 'peopl', 'bank', 'specif', 'knowledge.']",Ingles
20,ITEM-123001,"['workshop', 'updat', 'sector', 'framework', 'document', 'environ', 'biodivers', 'workshop', 'aim', 'exchang', 'experi', 'knowledg', 'order', 'updat', 'sector', 'framework', 'document', 'environ', 'biodiversity.']",Ingles
21,ITEM-125001,"['urbelac-urban', 'network', 'knowledg', 'transfer', 'sustain', 'urban', 'develop', 'knowledg', 'exchang', 'workshop', 'among', 'citi', 'specif', 'project']",Ingles
22,ITEM-130001,"['expert', 'dialogue:', 'pathway', 'polici', 'intervent', 'proactiv', 'reconstructioin', 'collabor', 'kyoto', 'univers', 'event', 'bring', 'togeth', 'practition', 'research', 'differ', 'field', 'includ', 'disast', 'manag', 'emerg', 'manag', 'develop', 'humanitarian', 'aid', 'share', 'relev', 'knowledg', 'experi', 'follow', 'group', 'dialogu', 'among', 'divers', 'stakeholders.', 'dialogu', 'focus', 'experi', 'japan', 'u.s.', 'implic', 'asia', 'latin', 'american', 'caribbean', 'countri', 'focus', 'on:', ')', 'strength', 'weak', 'opportun', 'challeng', 'proactiv', 'disast', 'manag', 'reconstruct', 'base', 'past', 'experi', ')', 'gap', 'plan', 'implement', 'polici', 'field', ')', 'pathway', 'proactiv', 'disast', 'manag', 'practic', 'asian', 'latin', 'american', 'caribbean', 'countri', 'relev', 'polici', 'intervention.']",Ingles
23,ITEM-130002,"['mine', 'fiscal', 'regim', 'workshop']",Ingles
24,ITEM-13002,"['pmr:', 'overview', '(/)', 'cours', 'pmr:', 'overview', 'first', 'cours', 'studi', 'learn', 'detail', 'regard', 'project', 'monitor', 'report', '(pmr).', 'cours', 'learn', 'pmr', 'use', 'import', 'instrument', 'develop', 'effectiveness.', 'also', 'learn', 'identifi', 'oper', 'requir', 'pmr', 'must', 'applied.', 'moreov', 'avail', '¨how', 'to¨', 'guid', 'help', 'manag', 'inform', 'regard', 'operation.']",Ingles
25,ITEM-13004,"['pmr:', 'project', 'approv', '(/)', 'cours', 'pmr:', 'project', 'approv', 'second', 'cours', 'studi', 'learn', 'detail', 'regard', 'project', 'monitor', 'report', '(pmr).', 'cours', 'learn', 'recogn', 'step', 'need', 'put', 'togeth', 'first', 'stage', 'pmr', '(approv', 'eligibility).', 'moreov', 'avail', '¨how', 'to¨', 'guid', 'help', 'manag', 'inform', 'regard', 'operation.']",Ingles
26,ITEM-133001,"['hootsuite?', 'get', 'better', 'engagement?', 'ever', 'wonder', 'use', 'hootsuit', 'manag', 'idb', 'social', 'media', 'networks?', 'given', 'seat?', 'join', 'hootsuit', 'expert', 'next', 'train', 'learn', 'tool', '“squeeze”', 'juic', 'platform', 'toward', 'better', 'effici', 'engag', 'audience.', 'train', 'english', 'site', 'address', 'idb', 'employe', 'seat', 'hootsuite.']",Ingles
27,ITEM-134001,"['steven', 'pinker', '|', 'enlighten', 'now:', 'case', 'reason', 'scienc', 'human', 'progress.', 'steven', 'pinker', 'present', 'big', 'pictur', 'human', 'progress:', 'peopl', 'live', 'longer', 'healthier', 'freer', 'happier', 'live', 'problem', 'still', 'formid', 'solut', 'within', 'grasp.', 'cognit', 'psycholog', 'harvard', 'professor', 'new', 'york', 'time', 'bestsel', 'author', 'steven', 'pinker', 'one', 'world', 'lead', 'author', 'languag', 'mind', 'human', 'nature.']",Ingles
28,ITEM-138002,"['bbl', '-', 'use', 'blockchain', 'reach', 'last', 'mile', 'impact', 'present', 'ashish', 'gadni', 'pleas', 'join', 'us', 'discuss', 'last', 'mile', 'impact', 'blockchain', 'ashish', 'gadnis.', 'ashish', 'founder', 'ceo', 'banqu', 'firm', 'develop', 'solut', 'generat', 'opportun', 'econom', 'identity.', 'ashish', 'year', 'experi', 'global', 'busi', 'solut', 'technolog', 'deploy', 'startup', '(ideat', 'sale)', 'social', 'enterpris', 'extrem', 'poverti', '/', 'conflict', 'zones.', 'also', 'activ', 'advocaci', 'financi', 'empower', 'women', 'global', 'global', 'poverti', 'erad', 'agenda.', 'also', 'work', 'live', 'contin', 'includ', 'lac.']",Ingles
29,ITEM-138003,"['ite', 'workshop', 'ite', 'department', 'workshop', 'includ', 'hq', 'cof', 'staff', 'focus', 'awar', 'train', 'technology/digit', 'direct', 'idbg', 'strategi', 'initi', 'custom', 'centric', 'design', 'techniques.', 'addit', 'workshop', 'team', 'build', 'inclus', 'type', 'activities.']",Ingles
30,ITEM-139001,"['cut', 'edg', 'ic', '|', 'blockchain', 'blockchain']",Ingles
31,ITEM-139002,"['oper', 'knowledg', 'manag', 'execut', 'agenc', '-', 'ecuador', 'workshop', 'one-day', 'workshop', 'execut', 'agenc', 'five', 'project', 'ecuador', 'introduc', 'oper', 'km', 'practic', 'tools.']",Ingles
32,ITEM-140001,"['design', 'think', 'ite', 'ee', 'process', 'project', 'design', 'think', 'ite', 'ee', 'process', 'project']",Ingles
33,ITEM-14001,"['yellow', 'line', '-', 'onboard@idb', 'director', 'counselor', 'object', 'onlin', 'cours', 'introduc', 'new', 'member', 'idb', 'board', 'director', 'main', 'area', 'board', 'involved.', 'guid', 'new', 'counselor', 'altern', 'director', 'director', 'main', 'concept', 'polici', 'process', 'bank', 'function', 'help', 'identifi', 'role', 'board', 'play', 'one.']",Ingles
34,ITEM-142001,"['orp', 'workshop', 'series', 'series', 'workshop', 'intern', 'busi', 'learn', 'need']",Ingles
35,ITEM-143001,"['bbl', 'hydro', '-', 'bid', 'flood', 'un', 'modelo', 'de', 'simulación', 'hidráulica', 'paraapoyar', 'proyecto', 'depresent', 'regard', 'model', 'hydraul', 'simul', 'support', 'project', 'flood', 'mitig', 'rain', 'protect', 'improv', 'urban', 'drainage.']",Español
36,ITEM-145001,"['macro', 'report', '–', 'launch', 'latin', 'american', 'caribbean', 'macroeconom', 'report:', 'mandat', 'grow:th', 'macroeconom', 'report', 'mandat', 'grow', 'revisit', 'growth', 'debat', 'rage', 'region', 'past', 'half', 'century.', 'view', 'debat', 'long-term', 'perspect', 'allow', 'focus', 'structur', 'factor', 'prevent', 'latin', 'america', 'caribbean', 'reach', 'growth', 'potenti', 'requir', 'keep', 'pace', 'faster', 'grow', 'region', 'fulfil', 'aspir', 'population.']",Ingles
37,ITEM-146002,"['support', 'activ', 'prepar', 'procur', 'certif', 'exam', 'procur', 'certif', 'program', 'main', 'object', 'support', 'effect', 'effici', 'supervis', 'procur', 'process', 'within', 'bank', 'financ', 'operations.', 'moreov', 'program', 'enabl', 'certifi', 'personnel', 'contribut', 'support', 'good', 'practic', 'procur', 'project', 'design', 'result', 'better', 'project', 'execution.', 'addit', 'receiv', 'certif', 'standard', 'knowledg', 'experi', 'bank', 'personnel', 'outsid', 'procur', 'function', 'requir', 'possess', 'provid', 'expert', 'opinion', 'level', 'procur', 'processes.']",Ingles
38,ITEM-147002,"['bank-execut', 'oper', '(beo)', 'certif', 'exam', '(gn--)', 'exam', 'avail', 'english', 'spanish.in', 'order', 'take', 'exam', 'complet', 'previous', 'courses:)', 'selection/contract', 'firm', 'bank-execut', 'work:', 'basic', 'course)', 'selection/contract', 'firm', 'bank-execut', 'work:', 'project', 'team', 'leaders)', 'selection/contract', 'firm', 'bank-execut', 'work:', 'certif', 'trainingpara', 'poder', 'tomar', 'est', 'examen', 'deberá', 'haber', 'completado', 'primero', 'los', 'cursos:)', 'selección/contratación', 'de', 'firma', 'para', 'trabajo', 'ejecutado', 'por', 'el', 'banco:', 'curso', 'básico)', 'selección/contratación', 'de', 'firma', 'para', 'trabajo', 'ejecutado', 'por', 'el', 'banco:', 'jefe', 'de', 'equipo)', 'selección/contratación', 'de', 'firma', 'para', 'trabajo', 'ejecutado', 'por', 'el', 'banco:', 'certificación']",Ingles
39,ITEM-149001,"['project', 'manag', 'essenti', 'busi', 'hr', 'profession', 'human', 'resourc', 'profession', 'must', 'abl', 'manag', 'wide', 'varieti', 'hr', 'project', 'larg', 'small', 'time', 'complet', 'ongo', 'day-to-day', 'hr', 'tasks.', 'yet', 'mani', 'hr', 'practition', 'limit', 'exposur', '“tri', 'true”', 'project', 'manag', 'methods.', 'practic', 'webinar', 'learn', 'project', 'manag', 'essenti', 'hr', 'function.', 'among', 'thing', 'cours', 'cover', 'topic', 'as:whi', 'project', 'succeed', 'failth', 'three', 'phase', 'project', 'manag', 'process:', 'plan', 'control', 'executehow', 'defin', 'hr', 'project', 'scope', 'objectiveshow', 'break', 'project', 'manag', 'taskshow', 'establish', 'realist', 'project', 'schedul', 'timelinewhat', 'monitor', 'keep', 'project', 'tracktip', 'manag', 'peopl', 'issu', 'hr', 'project', 'execut']",Ingles
40,ITEM-150001,"['vps', 'train', 'hyperion', 'npc']",Ingles
41,ITEM-150002,"['beo', 'firm', 'procur', 'train', 'mif', 'ptls', 'analyst', 'contract', 'offic', 'present', 'spanish', 'cof', 'join', 'webex:bank', 'execut', 'oper', 'mif', 'trainingthursday', 'march', ':', 'pm', '|', 'eastern', 'daylight', 'time', '(new', 'york', 'gmt-:)', '|meet', 'number', '(access', 'code):', 'https://iadb.webex.com/iadb/j.php?mtid=mdeaededdddcjoin', 'phone---', 'call-in', 'toll', 'number', '(us/canada)glob', 'call-in', 'numbershttps://iadb.webex.com/cmp/webcomponents/widget/globalcallin/globalcallin.do?siteurl=iadb&servicetype=mc&eventid=&tollfree=']",Ingles
42,ITEM-15002,"['pmr:', 'elig', '(/)', 'cours', 'pmr:', 'elig', 'third', 'cours', 'studi', 'learn', 'detail', 'regard', 'project', 'monitor', 'report', '(pmr).', 'get', 'know', 'key', 'element', 'need', 'updat', 'perform', 'project.', 'cours', 'learn', 'identifi', 'necessari', 'step', 'updat', 'inform', 'found', 'result', 'matrix', 'moment', 'elig', 'operation.', 'moreov', 'avail', '¨how', 'to¨', 'guid', 'help', 'manag', 'inform', 'regard', 'operation.']",Ingles
43,ITEM-15004,"['pmr:', 'project', 'execut', '(/)', 'cours', 'pmr:', 'project', 'execut', 'fourth', 'cours', 'studi', 'learn', 'detail', 'regard', 'project', 'monitor', 'report', '(pmr).', 'learn', 'report', 'progress', 'oper', 'possibl', 'updat', 'result', 'matrix.', 'moreov', 'avail', '¨how', 'to¨', 'guid', 'help', 'manag', 'inform', 'regard', 'operation.']",Ingles
44,ITEM-15006,"['pmr:', 'valid', '(/)', 'cours', 'pmr:', 'valid', 'fifth', 'cours', 'studi', 'learn', 'detail', 'regard', 'project', 'monitor', 'report', '(pmr).', 'learn', 'differ', 'entiti', 'work', 'togeth', 'valid', 'project.', 'cours', 'learn', 'valid', 'process', 'main', 'particip', 'responsibilities.', 'moreov', 'avail', '¨how', 'to¨', 'guid', 'help', 'manag', 'inform', 'regard', 'operation.']",Ingles
45,ITEM-15008,"['pmr:', 'perform', 'classif', '(/)', 'cours', 'pmr:', 'perform', 'classif', 'sixth', 'cours', 'studi', 'learn', 'detail', 'regard', 'project', 'monitor', 'report', '(pmr).', 'learn', 'perform', 'classif', 'mean', 'obtained.', 'cours', 'learn', 'monitor', 'indic', 'appli', 'perform', 'classif', 'project.', 'moreov', 'avail', '¨how', 'to¨', 'guid', 'help', 'manag', 'inform', 'regard', 'operation.']",Ingles
46,ITEM-15010,"['use', 'special', 'contractu', 'condit', 'sovereign', 'guarante', 'invest', 'loan', 'onlin', 'cours', 'provid', 'overview', 'use', 'special', 'contractu', 'condit', 'sovereign', 'guarante', 'invest', 'loans.', 'cours', 'seek', 'ration', 'use', 'special', 'contractu', 'condit', 'address', 'issu', 'requir', 'supplementari', 'project', 'document', 'would', 'easili', 'adapt', 'adjusted.']",Ingles
47,ITEM-154001,"['hands-on', 'bbl', '-', 'idbx', 'ticket', 'system', 'mooc', 'spoc', 'bbl', 'hands-on', 'experi', 'train', 'product', 'coordin', 'on:-', 'use', 'idbx', 'ticket', 'system', '(', 'minutes)-', 'hands-on', 'train', '(', 'hr)o', 'procedur', 'implement', 'idbx', 'ticket', 'system', 'mooc', 'spoco', 'auto-repli', 'idbx@iadb.org', 'request', 'handlingo', 'automat', 'answer', 'option', '&', 'procedur', 'updat', 'them-', 'workload', 'distribut', '&', 'report', '(', 'minutes)']",Ingles
48,ITEM-155001,"['project', 'specif', 'limit', 'quick', 'refer', 'tool', 'train', 'session', 'project', 'specif', 'limit', 'quick', 'refer', 'tool', 'recent', 'publish', 'portal/resources/market', '&', 'oper', 'risk', 'webpage.', 'tool', 'design', 'calcul', 'check', 'complianc', 'applic', 'project', 'specif', 'limit', 'defin', 'risk', 'appetit', 'polici', 'cross-book', 'documentation.']",Ingles
49,ITEM-157001,"['timeinvest', 'tutori', 'timeinvest', 'time', 'manag', 'tool', 'help', 'organ', 'hour', 'invest', 'activ', 'therebi', 'provid', 'us', 'better', 'understand', 'cost', 'structur', 'business.', 'tutori', 'show', 'step', 'step', 'enter', 'record', 'time', 'easi', 'friend', 'way.']",Ingles
50,ITEM-160001,"['lego', 'serious', 'play', 'facilit', 'train', 'lego', 'serious', 'play', 'facilit', 'train']",Ingles
51,ITEM-16001,"['lead', 'chang', '-day', 'hands-on', 'leadership', 'develop', 'program', 'provid', 'particip', 'tool', 'techniqu', 'manag', 'self', 'manag', 'other', 'lead', 'organiz', 'change.design', 'deliv', 'hrd', 'collabor', 'inca', 'busi', 'school']",Ingles
52,ITEM-16004,"['support', 'staff', 'forum', 'idb', 'group', 'offer', 'staff', 'support', 'track', 'forum', 'hone', 'leadership', 'skills.', 'event', 'also', 'opportun', 'network', 'across', 'departments.']",Ingles
53,ITEM-161001,"['effect', 'influenti', 'communic', '-day', 'workshop', 'build', 'enhanc', 'ifd', 'particip', 'communic', 'skill', 'level', '–', 'improv', 'overal', 'effectiveness.', 'workshop', 'particip', 'will:', '(i)', 'confid', 'skill', 'communic', 'persuas', 'stakeholder;', '(ii)', 'method', 'practic', 'inclus', 'collabor', 'communic', '-', 'across', 'level', 'organization;', '(iii)', 'deeper', 'understand', 'effect', 'use', 'social', 'communic', 'constant', 'adapt.']",Ingles
54,ITEM-162001,"['leader', 'coach', 'one-day', 'hands-on', 'program', 'idbg', 'leader', 'help', 'improv', 'coach', 'skill', 'across', 'broad', 'rang', 'situat', 'thus', 'increas', 'perform', 'engag', 'accountability.']",Ingles
55,ITEM-163001,"['advanc', 'negoti', '(level', 'ii)', 'program', 'advanc', 'negoti', '(level', 'ii)', 'programdescription:great', 'negoti', 'alway', 'associ', 'great', 'leaders.', 'workshop', 'follow-on', 'skill', 'learn', 'negoti', '&', 'conflict', 'manag', 'train', '(level', ')', 'provid', 'use', 'tool', 'handl', 'negoti', 'situat', 'addit', 'complexities.objectives:thi', '-day', 'workshop', 'exclus', 'design', 'idbg', 'staff.', 'end', 'train', 'particip', 'will:', 'handl', 'complex', 'busi', 'convers', 'multipl', 'parti', 'stakehold', 'involved;', 'learn', 'common', 'manipul', 'tactic', 'use', 'difficult', 'peopl', 'along', 'strategi', 'neutral', 'effect', 'enabl', 'determin', 'best', 'strateg', 'approach', 'difficult', 'convers', 'maintain', 'relationship', 'negoti', 'take', 'place.cor', 'competencies:collabor', 'teamwork', 'inclus', '|', 'communic', 'influenc', '|', 'client', 'focuselig', 'requirements:ibd', 'staff', 'technic', 'track', '(grade', ')', 'ibd', 'invest', 'staff', 'technic', 'track', '(level', 'b', 'c', 'e)', '\uf050', 'idb', 'idb', 'invest', 'dtcs**', 'strong', 'busi', 'case', 'explain', 'train', 'relev', 'necessari', 'nomine', 'current', 'work', 'requir', 'sinc', 'train', 'consult', 'handl', 'except', 'basis.tuit', 'cost:ful', 'tuition', '$', 'per', 'participant.idb', 'staff', '&', 'yp:', '$', 'dtcs', 'research', 'fellow', 'ove', 'mec', 'mif', 'exd', 'sre', 'apo', 'seconde', 'tfa', 'idb', 'invest:', '$']",Ingles
56,ITEM-167001,"['strateg', 'talent', 'acquisit', 'program', 'cours', 'particip', 'learn', 'identifi', 'qualiti', 'talent', 'increas', 'divers', 'enabl', 'win', 'teams.', 'present', 'len', 'customer-centr', 'cours', 'provid', 'action', 'frameworkand', 'end-to-end', 'strategi', 'win', 'war', 'great', 'talent--and', 'help', 'drive', 'idb', 'forward.']",Ingles
